Season,Injury,Days,Games missed,player_name,player_age,player_position,club,league,salary_eur,salary_daily_eur,injury_cost_eur
22/23,Ankle injury,48,10,Jesper Lindstrøm,23,Right Winger,Eintracht Frankfurt,Bundesliga,1310178.0,3589.528767123288,172297.38082191782
22/23,Thigh problems,7,1,Jesper Lindstrøm,23,Right Winger,Eintracht Frankfurt,Bundesliga,1310178.0,3589.528767123288,25126.70136986301
22/23,Broken collarbone,64,4,Ansgar Knauff,21,Right Winger,Eintracht Frankfurt,Bundesliga,655024.0,1794.5863013698631,114853.52328767124
22/23,Hip problems,5,1,Ansgar Knauff,21,Right Winger,Eintracht Frankfurt,Bundesliga,655024.0,1794.5863013698631,8972.931506849316
22/23,Hamstring injury,22,6,Ansgar Knauff,21,Right Winger,Eintracht Frankfurt,Bundesliga,655024.0,1794.5863013698631,39480.89863013699
22/23,Adductor pain,5,1,Randal Kolo Muani,24,Forward,Eintracht Frankfurt,Bundesliga,1586046.0,4345.331506849315,21726.657534246573
22/23,Knee surgery,121,12,Lucas Alario,30,Forward,Eintracht Frankfurt,Bundesliga,2735624.0,7494.860273972603,906878.093150685
22/23,Knee injury,49,6,Lucas Alario,30,Forward,Eintracht Frankfurt,Bundesliga,2735624.0,7494.860273972603,367248.15342465753
22/23,Shoulder injury,71,4,Maxence Lacroix,23,Centre-Back,Wolfsburg,Bundesliga,3887000.0,10649.315068493152,756101.3698630137
22/23,Torn muscle fiber,67,11,Bartol Franjic,23,Left-Back,Wolfsburg,Bundesliga,956800.0,2621.3698630136987,175631.7808219178
22/23,Calf problems,80,9,Bartol Franjic,23,Left-Back,Wolfsburg,Bundesliga,956800.0,2621.3698630136987,209709.5890410959
22/23,Thigh problems,5,1,Bartol Franjic,23,Left-Back,Wolfsburg,Bundesliga,956800.0,2621.3698630136987,13106.849315068494
22/23,muscular problems,31,5,Kilian Fischer,22,Right-Back,Wolfsburg,Bundesliga,1005682.0,2755.293150684932,85414.08767123288
22/23,Adductor pain,9,2,Josuha Guilavogui,32,Defensive Midfield,Wolfsburg,Bundesliga,1092000.0,2991.780821917808,26926.027397260277
22/23,Thigh problems,10,3,Felix Nmecha,22,Central Midfield,Wolfsburg,Bundesliga,832919.0,2281.9698630136986,22819.698630136987
22/23,Back problems,6,1,Maximilian Arnold,29,Central Midfield,Wolfsburg,Bundesliga,4350569.0,11919.367123287671,71516.20273972602
22/23,Inflammation of pubic bone,7,1,Aster Vranckx,20,Central Midfield,Wolfsburg,Bundesliga,889536.0,2437.084931506849,17059.594520547947
